Dilshad Garden to Jhilmil via Dilshad Garden → Jhilmil | Lines: RED_Rithala to Dilshad Garden
Jhilmil to Haiderpur Badli Mor via Jhilmil → Mansrover park → Shahdara → Welcome → Seelam Pur → Shastri Park → Kashmere Gate → Civil Lines → Vidhan Sabha → Vishwavidyalaya → Guru Tegh Bahadur Nagar → Model Town → Azadpur → Adarsh Nagar → Jahangirpuri → Haiderpur Badli Mor | Lines: RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli
Jhilmil to Jahangirpuri via Jhilmil → Mansrover park → Shahdara → Welcome → Seelam Pur → Shastri Park → Kashmere Gate → Civil Lines → Vidhan Sabha → Vishwavidyalaya → Guru Tegh Bahadur Nagar → Model Town → Azadpur → Adarsh Nagar → Jahangirpuri | Lines: RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli
Jhilmil to Adarsh Nagar via Jhilmil → Mansrover park → Shahdara → Welcome → Seelam Pur → Shastri Park → Kashmere Gate → Civil Lines → Vidhan Sabha → Vishwavidyalaya → Guru Tegh Bahadur Nagar → Model Town → Azadpur → Adarsh Nagar | Lines: RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli
Jhilmil to Azadpur via Jhilmil → Mansrover park → Shahdara → Welcome → Seelam Pur → Shastri Park → Kashmere Gate → Civil Lines → Vidhan Sabha → Vishwavidyalaya → Guru Tegh Bahadur Nagar → Model Town → Azadpur | Lines: RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli
Jhilmil to Model Town via Jhilmil → Mansrover park → Shahdara → Welcome → Seelam Pur → Shastri Park → Kashmere Gate → Civil Lines → Vidhan Sabha → Vishwavidyalaya → Guru Tegh Bahadur Nagar → Model Town | Lines: RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli
Jhilmil to Guru Tegh Bahadur Nagar via Jhilmil → Mansrover park → Shahdara → Welcome → Seelam Pur → Shastri Park → Kashmere Gate → Civil Lines → Vidhan Sabha → Vishwavidyalaya → Guru Tegh Bahadur Nagar | Lines: RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli
Jhilmil to Vishwavidyalaya via Jhilmil → Mansrover park → Shahdara → Welcome → Seelam Pur → Shastri Park → Kashmere Gate → Civil Lines → Vidhan Sabha → Vishwavidyalaya | Lines: RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli
Jhilmil to Vidhan Sabha via Jhilmil → Mansrover park → Shahdara → Welcome → Seelam Pur → Shastri Park → Kashmere Gate → Civil Lines → Vidhan Sabha | Lines: RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli
Jhilmil to Civil Lines via Jhilmil → Mansrover park → Shahdara → Welcome → Seelam Pur → Shastri Park → Kashmere Gate → Civil Lines | Lines: RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → YELLOW_Huda City Centre to Samaypur Badli
Jhilmil to Chandni Chowk via Jhilmil → Mansrover park → Shahdara → Welcome → Seelam Pur → Shastri Park → Kashmere Gate → Chandni Chowk | Lines: RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → YELLOW_Huda City Centre to Samaypur Badli
Jhilmil to Chawri Bazar via Jhilmil → Mansrover park → Shahdara → Welcome → Seelam Pur → Shastri Park → Kashmere Gate → Chandni Chowk → Chawri Bazar | Lines: RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli
Jhilmil to New Delhi via Jhilmil → Mansrover park → Shahdara → Welcome → Seelam Pur → Shastri Park → Kashmere Gate → Chandni Chowk → Chawri Bazar → New Delhi | Lines: RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli
Jhilmil to Rajiv Chowk via Jhilmil → Mansrover park → Shahdara → Welcome → Seelam Pur → Shastri Park → Kashmere Gate → Chandni Chowk → Chawri Bazar → New Delhi → Rajiv Chowk | Lines: RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli
Jhilmil to Patel Chowk via Jhilmil → Mansrover park → Shahdara → Welcome → Seelam Pur → Shastri Park → Kashmere Gate → Chandni Chowk → Chawri Bazar → New Delhi → Rajiv Chowk → Patel Chowk | Lines: RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli
Jhilmil to Central Secretariat via Jhilmil → Mansrover park → Shahdara → Welcome → Seelam Pur → Shastri Park → Kashmere Gate → Chandni Chowk → Chawri Bazar → New Delhi → Rajiv Chowk → Patel Chowk → Central Secretariat | Lines: RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli
Jhilmil to Udyog Bhawan via Jhilmil → Mansrover park → Shahdara → Welcome → Seelam Pur → Shastri Park → Kashmere Gate → Chandni Chowk → Chawri Bazar → New Delhi → Rajiv Chowk → Patel Chowk → Central Secretariat → Udyog Bhawan | Lines: RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli
Jhilmil to Lok Kalyan Marg via Jhilmil → Mansrover park → Shahdara → Welcome → Seelam Pur → Shastri Park → Kashmere Gate → Chandni Chowk → Chawri Bazar → New Delhi → Rajiv Chowk → Patel Chowk → Central Secretariat → Udyog Bhawan → Lok Kalyan Marg | Lines: RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli
Jhilmil to Jorbagh via Jhilmil → Mansrover park → Shahdara → Welcome → Seelam Pur → Shastri Park → Kashmere Gate → Chandni Chowk → Chawri Bazar → New Delhi → Rajiv Chowk → Patel Chowk → Central Secretariat → Udyog Bhawan → Lok Kalyan Marg → Jorbagh | Lines: RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli
Jhilmil to Dilli Haat - INA via Jhilmil → Mansrover park → Shahdara → Welcome → Seelam Pur → Shastri Park → Kashmere Gate → Chandni Chowk → Chawri Bazar → New Delhi → Rajiv Chowk → Patel Chowk → Central Secretariat → Udyog Bhawan → Lok Kalyan Marg → Jorbagh → Dilli Haat - INA | Lines: RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli
Jhilmil to AIIMS via Jhilmil → Mansrover park → Shahdara → Welcome → Seelam Pur → Shastri Park → Kashmere Gate → Chandni Chowk → Chawri Bazar → New Delhi → Rajiv Chowk → Patel Chowk → Central Secretariat → Udyog Bhawan → Lok Kalyan Marg → Jorbagh → Dilli Haat - INA → AIIMS | Lines: RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli
Jhilmil to Green Park via Jhilmil → Mansrover park → Shahdara → Welcome → Seelam Pur → Shastri Park → Kashmere Gate → Chandni Chowk → Chawri Bazar → New Delhi → Rajiv Chowk → Patel Chowk → Central Secretariat → Udyog Bhawan → Lok Kalyan Marg → Jorbagh → Dilli Haat - INA → AIIMS → Green Park | Lines: RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli
Jhilmil to Hauz Khas via Jhilmil → Mansrover park → Shahdara → Welcome → Seelam Pur → Shastri Park → Kashmere Gate → Chandni Chowk → Chawri Bazar → New Delhi → Rajiv Chowk → Patel Chowk → Central Secretariat → Udyog Bhawan → Lok Kalyan Marg → Jorbagh → Dilli Haat - INA → AIIMS → Green Park → Hauz Khas | Lines: RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli
Jhilmil to Malviya Nagar via Jhilmil → Mansrover park → Shahdara → Welcome → Seelam Pur → Shastri Park → Kashmere Gate → Chandni Chowk → Chawri Bazar → New Delhi → Rajiv Chowk → Patel Chowk → Central Secretariat → Udyog Bhawan → Lok Kalyan Marg → Jorbagh → Dilli Haat - INA → AIIMS → Green Park → Hauz Khas → Malviya Nagar | Lines: RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli
Jhilmil to Saket via Jhilmil → Mansrover park → Shahdara → Welcome → Seelam Pur → Shastri Park → Kashmere Gate → Chandni Chowk → Chawri Bazar → New Delhi → Rajiv Chowk → Patel Chowk → Central Secretariat → Udyog Bhawan → Lok Kalyan Marg → Jorbagh → Dilli Haat - INA → AIIMS → Green Park → Hauz Khas → Malviya Nagar → Saket | Lines: RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli
Jhilmil to Qutab Minar via Jhilmil → Mansrover park → Shahdara → Welcome → Seelam Pur → Shastri Park → Kashmere Gate → Chandni Chowk → Chawri Bazar → New Delhi → Rajiv Chowk → Patel Chowk → Central Secretariat → Udyog Bhawan → Lok Kalyan Marg → Jorbagh → Dilli Haat - INA → AIIMS → Green Park → Hauz Khas → Malviya Nagar → Saket → Qutab Minar | Lines: RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli
Jhilmil to Chhattarpur via Jhilmil → Mansrover park → Shahdara → Welcome → Seelam Pur → Shastri Park → Kashmere Gate → Chandni Chowk → Chawri Bazar → New Delhi → Rajiv Chowk → Patel Chowk → Central Secretariat → Udyog Bhawan → Lok Kalyan Marg → Jorbagh → Dilli Haat - INA → AIIMS → Green Park → Hauz Khas → Malviya Nagar → Saket → Qutab Minar → Chhattarpur | Lines: RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli
Jhilmil to Sultanpur via Jhilmil → Mansrover park → Shahdara → Welcome → Seelam Pur → Shastri Park → Kashmere Gate → Chandni Chowk → Chawri Bazar → New Delhi → Rajiv Chowk → Patel Chowk → Central Secretariat → Udyog Bhawan → Lok Kalyan Marg → Jorbagh → Dilli Haat - INA → AIIMS → Green Park → Hauz Khas → Malviya Nagar → Saket → Qutab Minar → Chhattarpur → Sultanpur | Lines: RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli
Jhilmil to Ghitorni via Jhilmil → Mansrover park → Shahdara → Welcome → Seelam Pur → Shastri Park → Kashmere Gate → Chandni Chowk → Chawri Bazar → New Delhi → Rajiv Chowk → Patel Chowk → Central Secretariat → Udyog Bhawan → Lok Kalyan Marg → Jorbagh → Dilli Haat - INA → AIIMS → Green Park → Hauz Khas → Malviya Nagar → Saket → Qutab Minar → Chhattarpur → Sultanpur → Ghitorni | Lines: RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli
Jhilmil to Arjan Garh via Jhilmil → Mansrover park → Shahdara → Welcome → Seelam Pur → Shastri Park → Kashmere Gate → Chandni Chowk → Chawri Bazar → New Delhi → Rajiv Chowk → Patel Chowk → Central Secretariat → Udyog Bhawan → Lok Kalyan Marg → Jorbagh → Dilli Haat - INA → AIIMS → Green Park → Hauz Khas → Malviya Nagar → Saket → Qutab Minar → Chhattarpur → Sultanpur → Ghitorni → Arjan Garh | Lines: RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli
Jhilmil to Gurudronacharya via Jhilmil → Mansrover park → Shahdara → Welcome → Seelam Pur → Shastri Park → Kashmere Gate → Chandni Chowk → Chawri Bazar → New Delhi → Rajiv Chowk → Patel Chowk → Central Secretariat → Udyog Bhawan → Lok Kalyan Marg → Jorbagh → Dilli Haat - INA → AIIMS → Green Park → Hauz Khas → Malviya Nagar → Saket → Qutab Minar → Chhattarpur → Sultanpur → Ghitorni → Arjan Garh → Gurudronacharya | Lines: RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → RED_Rithala to Dilshad Garden → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli → YELLOW_Huda City Centre to Samaypur Badli
